#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
63,josi @UCqiRylQrdAIvGbyt5KPcfEg,1.3M,11.30%,Peru,,390K
64,América Noticias @UCPhm2I2wk4vqjENwhn3px8A,1.3M,-,Peru,,387K
65,Rongel Nakem @UCsDN1kifkledAQ8inUCVGgg,1.3M,-,Peru,,387K
66,Cantale @UCC6jEV2ABF1rKo6YLSIk19Q,1.3M,-,Peru,,384K
67,Juanito y Richard @UCfiBnBtw8iNbX8vL4f6cp0Q,1.3M,0.20%,Peru,,375K
68,Alcadeno @UC7EgN0_nONgpXzmHwGWbhPw,1.2M,-,Peru,,372K
69,Odilon Huamani @UCT2JPnLdgkPnptb3PQdB5Hg,1.2M,-,Peru,,372K
70,LINEA DE TIEMPO @UCpa523oHE_iRutAewYp3v_w,1.2M,-,Peru,,369K
71,XJared10 @UCTgzQuIlt9yhH48n84fX8pQ,1.2M,-,Peru,,360K
72,Luis Lovon @UCyDbMpqtBxfTQU7ABIF70AA,1.2M,-,Peru,,360K
73,Pepe el Mago Juega @UCM-Q21rFJyjZA1fvg2cqKYw,1.2M,0.30%,Peru,,351K
74,Un Mundo De Historias @UCXiPFoqWWLmDC0aPNXe7PJg,1.2M,-,Peru,,348K
75,notepiquestv @UCVIiKvrQ8K8MqHuC1b-S70w,1.2M,-,Peru,,348K
76,Reggaeton & Trap @UCyXxTWEJOO2F4JxT8CNZGdQ,1.2M,0.30%,Peru,,345K
77,Martin Catalogne Makeup @UCokBc8rovET0mE_wO37mYXQ,1.1M,0.30%,Peru,,342K
78,Tongo Oficial @UCIm5dgSJPmVBkz7CKuGtwFQ,1.1M,0.10%,Peru,,336K
79,Jeffar Vlogs @UCHr6rOAFSuZA6KOeGyLrEOQ,1.1M,0.60%,Peru,,336K
80,Bartolito @UCsgUqltFhaGFjz4pvJ0CTTQ,1.1M,-,Peru,,330K
81,Samir velasquez @UCINvgwTzPzzWbCFbcn1fFmQ,1.1M,-,Peru,,321K
82,Giancarlo Velazco @UCSHp6wzQ9Loq6pmSi-n4VXg,1.1M,-,Peru,,321K
83,JaneLK Ideas @UChV3EJKbGklQ8pUC2Qt-Ymw,1.1M,0.10%,Peru,,315K
84,Misias pero viajeras @UCknQM__AyaqSdxunkqpavDg,1.1M,0.40%,Peru,,315K
85,Roart @UChh-bXBQTrMQIJackwys2dQ,1M,0.10%,Peru,,309K
86,Aprendiendo a Cocinar Como Mamá @UC3S_MrM4E5icPagCdW6wc1w,1M,-,Peru,,306K
87,delquillabambino @UCfCqFAMfZ771IrBf7sFJcRA,1M,-,Peru,,306K
88,Magaly ATV @UCF6s3gpbZEQKqZ38VvQ0gLA,1M,-,Peru,,300K
89,ArturoR15 @UCCYtO-IuoJ2Pu5UlPdzgQ6g,1M,-,Peru,,300K
90,NES QUIN @UCUOheTWut65njw8U_7S98pQ,1M,-,Peru,,300K
91,Malucci @UCWYaqvLXPJrSISmZWG2AAvQ,1M,1.10%,Peru,,300K
92,anrock @UC5-kZ2oIAYjzVEdLoDDp34g,1M,0.20%,Peru,,300K
93,FanDom @UCLkmEqfMVlwItXm7ifldGKQ,1M,0.30%,Peru,,300K
94,Zombieverso @UCbvSVVf3HAm7upmlkqU2d8Q,985K,0.70%,Peru,,295.5K
95,NaciónUrbanaTV @UCkueSkG3blusetSpIdJsicQ,979K,0.20%,Peru,,293.7K
96,Easy Kitchen of Rosana @UCSC_5MAZDBZvWt4ycF0Lmhg,977K,-,Peru,,293.1K
97,El Basurero de Daarick @UCGA6Zu0wxKCnW9W0crxoneQ,975K,-,Peru,,292.5K
98,Luisardo @UCR5a11Jjd_b5FoEA8yYenZg,963K,-,Peru,,288.9K
